customer_city,total_sales
boca da mata,219.73000000000002
perdizes,1163.31
jarinu,1410.4800000000002
xaxim,1718.58
guacui,3797.29
barroso,1289.96
belo campo,174.47
pradopolis,901.0
sao lourenco do sul,2135.38
lutecia,887.0
sao sebastiao do alto,488.98
curvelo,5248.01
itajobi,1653.9500000000003
pirambu,289.0
caldas novas,5301.63
gurupi,5229.289999999999
nova boa vista,52.9
guanhaes,1931.45
patrocinio,6747.54
balsas,5274.429999999999
salgueiro,2315.95
quirinopolis,1475.95
santa rita,1491.65
olinda,12690.08
santa maria madalena,1046.09
jaboticabal,5747.120000000001
paranagua,7339.459999999999
boninal,717.6999999999999
lagoa de sao francisco,68.99
joao monlevade,6941.9
rosario do sul,933.25
casa branca,1261.58
birigui,14611.340000000004
itapira,6933.03
muzambinho,665.8
braco do norte,2962.4699999999993
abreu e lima,2376.9500000000003
sao carlos,29822.500000000007
muriae,10949.429999999998
ilhabela,3180.3800000000006
belmonte,187.69
feira de santana,26694.2
uibai,549.98
aguas lindas de goias,2219.91
jaboatao dos guararapes,21143.17
nova mamore,594.9
palotina,872.76
eusebio,2217.51
serafina correa,813.6600000000001
montanha,1586.5400000000002
lavras,12790.96
rio brilhante,972.28
macatuba,2984.6400000000003
teutonia,1493.6
leopoldina,1667.77
rio branco,13936.23
nanuque,2395.9700000000003
entre rios,1103.4
cristina,1009.4200000000001
ituverava,3748.74
carapebus,696.97
estancia velha,2782.1
dois irmaos,3398.76
santo antonio de jesus,4296.86
cubatao,6996.029999999999
itabaiana,3125.77
xinguara,1282.22
barra da estiva,860.57
arcos,5391.73
cajati,1821.3200000000002
campina do monte alegre,237.9
macaubas,867.4699999999999
sao caetano do sul,32159.800000000007
pedreira,2893.6000000000004
campina grande do sul,1062.57
marica,15216.260000000002
avelino lopes,72.89
rio do sul,4777.85
catanduva,9680.83
frutal,3310.46
anapolis,17129.88
cristalandia,948.69
tabatinga,389.69000000000005
ronda alta,1544.3300000000002
parobe,1750.4800000000002
dois corregos,1233.69
retirolandia,89.9
carpina,2194.76
vitoria,52067.590000000004
morada nova de minas,658.89
dois vizinhos,2311.92
fundao,352.8
santana de parnaiba,23029.75
florianopolis,84178.84999999999
santa branca,763.76
sao mateus do sul,1933.9500000000003
sape,1959.99
campo belo,1836.3400000000001
anchieta,2286.5000000000005
patos de minas,16726.98
itumbiara,5092.22
urucurituba,169.8
rolim de moura,465.04999999999995
cruz alta,2842.11
bela vista de goias,608.66
apiai,547.5699999999999
jacinto,113.99
cassia dos coqueiros,74.9
joinville,34399.99
natal,35751.380000000005
pirapozinho,1319.37
quata,3119.56
concordia do para,929.78
telemaco borba,4693.490000000001
sao jose,20251.46
cabeceira grande,265.89
sento se,53.99
